date,PRCP,TMAX,TMIN
2022-04-09,0.5,13.3,8.9
2022-04-10,0.0,9.4,6.1
2022-04-11,0.0,15.6,5.6
2022-04-12,1.0,21.7,10.0
2022-04-13,0.0,20.6,10.0
2022-04-14,2.8,21.7,12.8
2022-04-15,0.0,20.6,10.6
2022-04-16,3.6,21.1,7.2
2022-04-17,0.0,10.0,5.6
2022-04-18,23.4,11.7,5.0
2022-04-19,29.0,10.0,4.4
2022-04-20,0.0,15.6,6.1
2022-04-21,0.0,15.0,7.2
2022-04-22,0.0,20.0,11.1
2022-04-23,0.0,16.1,10.0
2022-04-24,0.0,15.6,8.9
2022-04-25,0.0,14.4,7.8
2022-04-26,1.3,15.6,10.0
2022-04-27,0.0,15.0,5.6
2022-04-28,0.0,13.3,5.0
2022-04-29,0.0,16.7,5.6
2022-04-30,0.0,19.4,8.3
2022-05-01,0.0,19.4,8.9
2022-05-02,8.9,13.9,10.0
2022-05-03,0.0,16.1,10.0
2022-05-04,3.0,19.4,10.0
2022-05-05,0.0,21.7,13.3
2022-05-06,18.8,16.7,10.0
2022-05-07,26.9,11.1,7.8
2022-05-08,0.5,15.0,7.8
2022-05-09,0.0,20.6,8.3
2022-05-10,0.0,21.7,11.7
2022-05-11,0.0,24.4,11.7
2022-05-12,0.0,22.2,13.9
2022-05-13,0.0,18.9,13.3
2022-05-14,7.1,23.3,14.4
2022-05-15,0.5,25.6,15.0
2022-05-16,11.9,23.9,16.7
2022-05-17,0.0,25.6,15.0
2022-05-18,0.0,22.8,13.9
2022-05-19,18.3,20.0,12.8
2022-05-20,11.2,20.0,12.2
2022-05-21,0.0,32.8,14.4
2022-05-22,0.0,33.3,21.7
2022-05-23,0.0,22.8,16.7
2022-05-24,0.0,18.3,14.4
2022-05-25,0.0,21.1,12.8
2022-05-26,0.0,21.1,12.8
2022-05-27,4.1,26.1,17.8
2022-05-28,6.9,25.0,17.2
2022-05-29,0.0,26.1,16.7
2022-05-30,0.0,30.0,18.3
2022-05-31,0.0,33.9,17.2
2022-06-01,21.3,19.4,15.0
2022-06-02,13.2,28.3,16.7
2022-06-03,0.0,23.9,16.1
2022-06-04,0.0,27.2,17.2
2022-06-05,0.0,24.4,15.6
2022-06-06,0.0,27.2,17.8
2022-06-07,1.3,25.6,18.3
2022-06-08,0.0,29.4,19.4
2022-06-09,17.8,29.4,18.9
2022-06-10,0.0,26.7,17.8
2022-06-11,5.8,23.9,18.3
2022-06-12,2.0,22.8,17.8
2022-06-13,0.0,30.0,20.6
2022-06-14,0.0,28.3,19.4
2022-06-15,0.0,27.2,19.4
2022-06-16,7.1,22.8,17.2
2022-06-17,0.0,33.3,21.1
2022-06-18,0.0,25.0,15.0
2022-06-19,0.0,23.3,13.3
2022-06-20,0.0,26.1,16.1
2022-06-21,2.3,25.0,17.8
2022-06-22,2.5,20.0,16.7
2022-06-23,0.0,23.9,15.6
2022-06-24,0.0,28.3,17.8
2022-06-25,0.0,32.2,20.6
2022-06-26,0.0,32.8,21.7
2022-06-27,12.2,26.1,20.6
2022-06-28,0.0,26.1,20.0
2022-06-29,0.0,30.0,18.9
2022-06-30,0.0,31.1,21.7
2022-07-01,0.0,35.0,23.9
2022-07-02,0.0,32.8,25.0
2022-07-03,0.0,31.1,23.3
2022-07-04,0.0,30.6,20.0
2022-07-05,2.0,31.1,22.8
2022-07-06,0.0,30.0,22.8
2022-07-07,0.0,27.8,21.1
2022-07-08,7.4,30.0,20.0
2022-07-09,0.0,28.9,22.2
2022-07-10,0.0,27.8,20.0
2022-07-11,0.0,28.9,20.6
2022-07-12,0.0,32.8,21.7
2022-07-13,0.0,33.3,23.9
2022-07-14,0.0,32.2,22.2
2022-07-15,0.0,30.0,22.2
2022-07-16,14.0,28.9,20.6
2022-07-17,0.0,28.9,22.8
2022-07-18,8.6,31.1,22.8
2022-07-19,0.0,33.9,23.9
2022-07-20,0.0,36.1,26.7
2022-07-21,14.5,36.1,23.3
2022-07-22,0.0,35.6,26.1
2022-07-23,0.0,36.1,26.1
2022-07-24,0.0,36.7,27.8
2022-07-25,19.3,31.7,23.3
2022-07-26,0.0,27.8,22.2
2022-07-27,0.0,30.0,21.1
2022-07-28,2.0,31.1,23.9
2022-07-29,0.5,30.6,23.9
2022-07-30,0.0,31.1,23.3
2022-07-31,0.0,30.6,22.2
2022-08-01,10.4,26.1,20.0
2022-08-02,0.0,33.9,21.7
2022-08-03,0.0,33.3,23.3
2022-08-04,0.0,34.4,26.1
2022-08-05,0.0,34.4,26.7
2022-08-06,0.0,34.4,26.1
2022-08-07,15.5,33.9,25.0
2022-08-08,0.0,34.4,26.7
2022-08-09,1.3,36.7,26.7
2022-08-10,0.0,30.0,23.9
2022-08-11,3.3,32.8,23.3
2022-08-12,0.0,29.4,22.2
2022-08-13,0.0,26.7,18.9
2022-08-14,0.0,28.3,21.1
2022-08-15,0.0,28.3,21.7
2022-08-16,0.0,28.9,19.4
2022-08-17,7.9,27.8,20.0
2022-08-18,0.0,31.1,20.0
2022-08-19,0.0,32.2,22.8
2022-08-20,0.0,32.8,24.4
2022-08-21,0.0,28.3,22.8
2022-08-22,6.1,27.2,22.8
2022-08-23,0.0,31.1,22.8
2022-08-24,0.0,32.2,23.3
2022-08-25,0.0,32.8,23.9
2022-08-26,7.1,31.1,25.6
2022-08-27,0.0,31.1,23.9
2022-08-28,0.0,26.7,22.8
2022-08-29,0.0,30.6,23.9
2022-08-30,1.0,31.7,23.9
2022-08-31,0.0,29.4,22.2
2022-09-01,0.0,30.0,20.6
2022-09-02,0.0,25.6,17.2
2022-09-03,0.0,27.8,20.0
2022-09-04,0.0,31.7,22.8
2022-09-05,0.3,30.6,23.3
2022-09-06,29.5,24.4,20.0
2022-09-07,0.0,23.3,19.4
2022-09-08,0.0,25.6,18.3
2022-09-09,0.0,27.2,17.8
2022-09-10,0.0,30.0,20.0
2022-09-11,6.9,25.0,19.4
2022-09-12,23.6,27.8,20.6
2022-09-13,42.9,28.9,20.0
2022-09-14,0.0,26.7,18.3
2022-09-15,0.0,23.3,18.3
2022-09-16,0.0,25.0,15.0
2022-09-17,0.0,23.3,18.3
2022-09-18,0.0,29.4,20.0
2022-09-19,1.8,30.0,21.7
2022-09-20,0.0,26.1,20.6
2022-09-21,0.0,27.2,18.3
2022-09-22,4.3,25.6,14.4
2022-09-23,0.0,17.8,11.1
2022-09-24,0.0,21.7,10.6
2022-09-25,19.8,25.0,16.1
2022-09-26,0.0,25.6,15.6
2022-09-27,0.0,21.7,16.7
2022-09-28,0.0,21.1,12.8
2022-09-29,0.0,19.4,13.3
2022-09-30,0.0,17.8,11.7
2022-10-01,16.8,17.2,11.7
2022-10-02,1.8,16.7,11.7
2022-10-03,11.4,12.8,9.4
2022-10-04,45.0,15.0,7.8
2022-10-05,10.7,15.0,12.2
2022-10-06,0.0,24.4,13.9
2022-10-07,0.0,25.6,15.0
2022-10-08,0.5,15.0,10.0
2022-10-09,0.0,17.8,7.8
2022-10-10,0.0,20.6,11.7
2022-10-11,0.0,22.2,12.2
2022-10-12,0.0,21.1,14.4
2022-10-13,19.8,21.7,12.8
2022-10-14,5.1,20.6,11.7
2022-10-15,0.0,20.6,11.7
2022-10-16,0.0,19.4,12.2
2022-10-17,3.3,20.0,13.9
2022-10-18,0.0,14.4,9.4
2022-10-19,0.0,12.8,6.7
2022-10-20,0.0,15.6,7.2
2022-10-21,0.0,17.8,9.4
2022-10-22,0.0,19.4,10.0
2022-10-23,0.0,16.7,13.3
2022-10-24,11.7,16.7,12.8
2022-10-25,0.3,19.4,16.1
2022-10-26,0.0,23.3,16.7
2022-10-27,0.0,18.3,11.1
2022-10-28,0.0,14.4,7.8
2022-10-29,0.0,15.0,7.2
2022-10-30,0.0,17.8,8.3
2022-10-31,1.8,18.9,11.1
2022-11-01,4.1,19.4,15.0
2022-11-02,0.0,21.7,13.9
2022-11-03,0.0,20.0,11.7
2022-11-04,0.0,22.2,11.1
2022-11-05,0.0,23.9,17.2
2022-11-06,0.3,23.9,17.2
2022-11-07,0.5,25.6,13.3
